name,point,livetime,days,fans
伝説のツチノトちゃん🧡💫,793885,69h50m,16,66
もえな🍷｜会社員ママ👶🏻,792510,20h29m,6,410
りま🌷🫧,595950,20h53m,10,47
今日もうるさい美女。,417830,51h24m,13,30
中咲こと🥒⸜💚⸝,316760,10h1m,5,78
にんぴ🥕Tiktok教えてちょ🥹,310495,10h27m,3,99
しいな🫧🌝,241335,26h55m,11,49
ゆめゆめ🩵✨️,169830,26h7m,10,16
アイカちゃん🐶💜,169730,7h53m,2,31
まる🎙️🍑,58955,26h31m,6,104
みさと👸,50270,12h54m,3,58
さく🌸🍒,48610,2h40m,1,55
ちあきバグる,47795,27h27m,17,36
まてぃ,33130,48h27m,9,45
hiro.mi.ao,32865,12h22m,5,24
はる🍀,23380,4h20m,2,58
りーちゃん,18420,6h31m,4,13
さく,17810,11h41m,7,11
菜穂(なお)🦄🪽,14510,4h52m,3,27
fu→ko,9900,4h0m,2,15
あいぷ🐻ａｉｐｏｏｈ🍯,7240,3h41m,3,8
ららりずふぁみりー,6760,12h54m,3,7
いち,5740,8h5m,4,3
さーたん,5300,6h40m,3,15
だいたい明るいさき,4140,1h0m,1,44
あーるちゃん,3980,3h13m,2,13
みこと,2970,1h39m,0,31
かなこ,2780,9h29m,4,10
𝑳𝒖𝒏（るん）🐬🫧🎀,1790,5h15m,3,18
mari,1350,4h22m,3,4
りおん🧸,1320,13h40m,8,10
ちったん🐰💞,1250,4h35m,2,10
なぐ,1110,20h53m,13,4
